"Dublin.Core.Title","Dublin.Core.Description","Dublin.Core.Creator","Dublin.Core.Date","Dublin.Core.Identifier","Dublin.Core.Rights","Dublin.Core.Type","Dublin.Core.Format","twitter_query","twitter_ids_count","twitter_links_count","indexed_links_count","files"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-06-11","01588c5e911384c4fb9abe87387e97bb","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","szkoła",2920,39,34,"https://aspw.pl/aspw_temp/01588c5e911384c4fb9abe87387e97bb/all_tweets_id.csv;https://aspw.pl/aspw_temp/01588c5e911384c4fb9abe87387e97bb/domains.json;https://aspw.pl/aspw_temp/01588c5e911384c4fb9abe87387e97bb/twitter_links.csv;https://aspw.pl/aspw_temp/01588c5e911384c4fb9abe87387e97bb/meta.csv;https://aspw.pl/aspw_temp/01588c5e911384c4fb9abe87387e97bb/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-06-07","015fc65a1669dc940e8243fb5d28062f","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Warszawa",5813,370,312,"https://aspw.pl/aspw_temp/015fc65a1669dc940e8243fb5d28062f/all_tweets_id.csv;https://aspw.pl/aspw_temp/015fc65a1669dc940e8243fb5d28062f/domains.json;https://aspw.pl/aspw_temp/015fc65a1669dc940e8243fb5d28062f/twitter_links.csv;https://aspw.pl/aspw_temp/015fc65a1669dc940e8243fb5d28062f/meta.csv;https://aspw.pl/aspw_temp/015fc65a1669dc940e8243fb5d28062f/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-09-18","01a8b380a203b59062706412eeb251aa","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","strajk",4462,59,57,"https://aspw.pl/aspw_temp/01a8b380a203b59062706412eeb251aa/all_tweets_id.csv;https://aspw.pl/aspw_temp/01a8b380a203b59062706412eeb251aa/domains.json;https://aspw.pl/aspw_temp/01a8b380a203b59062706412eeb251aa/twitter_links.csv;https://aspw.pl/aspw_temp/01a8b380a203b59062706412eeb251aa/meta.csv;https://aspw.pl/aspw_temp/01a8b380a203b59062706412eeb251aa/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-11-02","0247499a9ca02e6d1d43cd9a50631617","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","aborcja",6782,81,64,"https://aspw.pl/aspw_temp/0247499a9ca02e6d1d43cd9a50631617/all_tweets_id.csv;https://aspw.pl/aspw_temp/0247499a9ca02e6d1d43cd9a50631617/domains.json;https://aspw.pl/aspw_temp/0247499a9ca02e6d1d43cd9a50631617/twitter_links.csv;https://aspw.pl/aspw_temp/0247499a9ca02e6d1d43cd9a50631617/meta.csv;https://aspw.pl/aspw_temp/0247499a9ca02e6d1d43cd9a50631617/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2020-11-29","027a12fba3ab684fd440517ad4bf0f9b","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","#strajkkobiet",14741,147,138,"https://aspw.pl/aspw_temp/027a12fba3ab684fd440517ad4bf0f9b/all_tweets_id.csv;https://aspw.pl/aspw_temp/027a12fba3ab684fd440517ad4bf0f9b/domains.json;https://aspw.pl/aspw_temp/027a12fba3ab684fd440517ad4bf0f9b/twitter_links.csv;https://aspw.pl/aspw_temp/027a12fba3ab684fd440517ad4bf0f9b/meta.csv;https://aspw.pl/aspw_temp/027a12fba3ab684fd440517ad4bf0f9b/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-07-23","02c916a06a2fb65a6271fff0b6724381","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","TVP",50000,1212,1150,"https://aspw.pl/aspw_temp/02c916a06a2fb65a6271fff0b6724381/all_tweets_id.csv;https://aspw.pl/aspw_temp/02c916a06a2fb65a6271fff0b6724381/domains.json;https://aspw.pl/aspw_temp/02c916a06a2fb65a6271fff0b6724381/twitter_links.csv;https://aspw.pl/aspw_temp/02c916a06a2fb65a6271fff0b6724381/meta.csv;https://aspw.pl/aspw_temp/02c916a06a2fb65a6271fff0b6724381/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-03-13","02cf65db1e9349a69b5f26a75e21dd2e","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","koronawirus",14333,1901,1584,"https://aspw.pl/aspw_temp/02cf65db1e9349a69b5f26a75e21dd2e/all_tweets_id.csv;https://aspw.pl/aspw_temp/02cf65db1e9349a69b5f26a75e21dd2e/domains.json;https://aspw.pl/aspw_temp/02cf65db1e9349a69b5f26a75e21dd2e/twitter_links.csv;https://aspw.pl/aspw_temp/02cf65db1e9349a69b5f26a75e21dd2e/meta.csv;https://aspw.pl/aspw_temp/02cf65db1e9349a69b5f26a75e21dd2e/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-10-11","03bddd81dc1fb7a48522106610d0014e","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","szczepienia",8833,226,206,"https://aspw.pl/aspw_temp/03bddd81dc1fb7a48522106610d0014e/all_tweets_id.csv;https://aspw.pl/aspw_temp/03bddd81dc1fb7a48522106610d0014e/domains.json;https://aspw.pl/aspw_temp/03bddd81dc1fb7a48522106610d0014e/twitter_links.csv;https://aspw.pl/aspw_temp/03bddd81dc1fb7a48522106610d0014e/meta.csv;https://aspw.pl/aspw_temp/03bddd81dc1fb7a48522106610d0014e/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-09-27","03fc316f54c4f5fda6133507b715c3bb","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","PiS",60983,821,724,"https://aspw.pl/aspw_temp/03fc316f54c4f5fda6133507b715c3bb/all_tweets_id.csv;https://aspw.pl/aspw_temp/03fc316f54c4f5fda6133507b715c3bb/domains.json;https://aspw.pl/aspw_temp/03fc316f54c4f5fda6133507b715c3bb/twitter_links.csv;https://aspw.pl/aspw_temp/03fc316f54c4f5fda6133507b715c3bb/meta.csv;https://aspw.pl/aspw_temp/03fc316f54c4f5fda6133507b715c3bb/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-05-19","052c9a6e612a0e10442c58a20c271214","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","zdalna",560,40,28,"https://aspw.pl/aspw_temp/052c9a6e612a0e10442c58a20c271214/all_tweets_id.csv;https://aspw.pl/aspw_temp/052c9a6e612a0e10442c58a20c271214/domains.json;https://aspw.pl/aspw_temp/052c9a6e612a0e10442c58a20c271214/twitter_links.csv;https://aspw.pl/aspw_temp/052c9a6e612a0e10442c58a20c271214/meta.csv;https://aspw.pl/aspw_temp/052c9a6e612a0e10442c58a20c271214/base_index.json"
